商品防伪码,有效日期,产品类型,保留字段1,保留字段2
111ejMXjLi2j,2016-12-11,11,11,11
111qpsmiJ2S3,2016-12-11,11,11,11
111Zis3iyJ9h,2016-12-11,11,11,11
111jHsBJEBCD,2016-12-11,11,11,11
111mIiUiNjUX,2016-12-11,11,11,11
111TdH9kSSEu,2016-12-11,11,11,11
111xvZ33LAwK,2016-12-11,11,11,11
111ctDeqmGGn,2016-12-11,11,11,11
111FpHfwgmnH,2016-12-11,11,11,11
111vgK6K7RRT,2016-12-11,11,11,11
111kweCt9IfH,2016-12-11,11,11,11
111SKgHxeTQw,2016-12-11,11,11,11
111jMt5UArX2,2016-12-11,11,11,11
111SfwYrtQ4i,2016-12-11,11,11,11
111HQNCa6A4v,2016-12-11,11,11,11
111M7PvCz94Z,2016-12-11,11,11,11
11142s6gTVSy,2016-12-11,11,11,11
111Lrhp8xtIk,2016-12-11,11,11,11
111iyBVuyBEf,2016-12-11,11,11,11
111ItpZDf7bX,2016-12-11,11,11,11
111ZBfjna24S,2016-12-11,11,11,11
111yMvQTa9w9,2016-12-11,11,11,11
111rRESqkAvC,2016-12-11,11,11,11
111CeG4sz4Rw,2016-12-11,11,11,11
111atF9cD9pK,2016-12-11,11,11,11
111wpb7AYG6F,2016-12-11,11,11,11
111FFe76jeu3,2016-12-11,11,11,11
1116FYzTvRxZ,2016-12-11,11,11,11
111YBtlitnbg,2016-12-11,11,11,11
111XmNrsT4wE,2016-12-11,11,11,11
111MdP7szXZM,2016-12-11,11,11,11
111TSXQytNQg,2016-12-11,11,11,11
111ZR7KHSfBH,2016-12-11,11,11,11
111AH82RSbzn,2016-12-11,11,11,11
111mYSqyGdZf,2016-12-11,11,11,11
111UKDPsGFg6,2016-12-11,11,11,11
111QZC3WBmfX,2016-12-11,11,11,11
111byq6iXsW2,2016-12-11,11,11,11
111TpEWnhfjm,2016-12-11,11,11,11
111b3naGuuA5,2016-12-11,11,11,11
111mHl5FRUur,2016-12-11,11,11,11
1115B6nu292e,2016-12-11,11,11,11
111pBtnC67yL,2016-12-11,11,11,11
111n6tw6AMlh,2016-12-11,11,11,11
111rrXhTcrF6,2016-12-11,11,11,11
111yWBkSGb8e,2016-12-11,11,11,11
111rCDfUSWAV,2016-12-11,11,11,11
111wuqUqTeRp,2016-12-11,11,11,11
111nqExal4Wc,2016-12-11,11,11,11
111SMl3yk2eY,2016-12-11,11,11,11
